ADGE,ApiName,API Compliance,TotalHits
DMT,licensingRelicensingBrokerIndividual,0.00%,"1,491"
DMT,licensingRelicensingEvaluatorCompany,22.22%,27
DMT,licensingRelicensingEvaluatorIndividual,14.74%,95
DMT,LicensingRelicensingSurveyingCompany,35.71%,14
DMT,LicensingRelicensingSurveyingIndividual,45.30%,521
DMT,LicensingSwimmingPoolRegistration,73.65%,148
DMT,LicensingWaterDispenserOperatorRegistration,70.00%,10
DMT,LocalExhibitionPermit,75.00%,12
DMT,MailboxRequest,66.17%,"2,415"
DMT,MediaAnnouncementPermit,59.70%,134
DMT,MergeCorridor,78.07%,"3,474"
DMT,MergePlots,64.89%,94
DMT,ModifyPropertyManagementAgreement,40.59%,"2,200"
DMT,ModifyTenancyContract,56.83%,"48,954"
DMT,MusatahaContractReigstration,38.10%,210
DMT,NewTenancyContract,41.67%,"401,227"
DMT,openCompanyEmployeeAccount,87.74%,"108,866"
DMT,OwnershipDeed,88.96%,"22,426"
DMT,participationInSatelliteBasedSurveyNetworkSystem,68.05%,435
DMT,PlayGroundBooking,79.32%,"27,885"
DMT,PlotEvaluationCertificate,61.35%,"11,712"
DMT,PlotLevelingAndAccessRoadExecution,73.75%,"2,213"
DMT,ProjectEscrowAccountAgreement,34.65%,101
DMT,PropertyEnrollment,64.12%,"35,555"
DMT,PropertyManagementAgreement,41.61%,"23,039"
DMT,PublicEntrance,44.98%,867
DMT,RamadanTempTentOutsideResidentialPlot,90.48%,147
DMT,RanchAllotmentRequest,68.57%,"18,545"
DMT,RanchContractRegistration,57.92%,"21,724"
DMT,RealEstateBoothPermit,56.25%,16
DMT,RegisterCompany,55.79%,"51,557"
DMT,RegisterEngineerFirstTime,19.22%,"90,316"
DMT,RegisterTenancyContractMunicipalAssets,60.86%,"1,183"
DMT,registrationNewRealEstateDevelopmentProject,50.00%,2
DMT,RenewEngineerRegistration,12.58%,"65,555"
DMT,RenewPropertyManagementAgreement,30.64%,"5,610"
DMT,RenewTemporaryOutdoorSeatingPermitOrPavementWorks,60.64%,968
DMT,RenewTenancyContract,38.52%,"557,746"
DMT,RenewTenancyContractMunicipalAssets,29.62%,638
DMT,RentFeeCollection,73.47%,49
DMT,RequestBuyAndSellPlots,72.13%,"1,019"
DMT,requestCompanyPermissions,79.18%,"8,666"
DMT,RequestCopyOfDcoumet,71.38%,975
DMT,requestCreateMortgage,50.00%,12
DMT,RequestLandVerificationCertificate,43.90%,"12,129"
DMT,requestOwnershipDeed,25.25%,"52,171"
DMT,RequestPropertyCertificate,7.99%,"77,015"
DMT,RequestRefundOfFeesAndAmounts,37.06%,"2,145"
DMT,RequestRefundOfInsuranceFees,36.60%,"3,836"
DMT,RequestReleaseMortgage,76.48%,"6,038"
DMT,RequestSettingOutOfPlotsNew,71.90%,"12,862"
DMT,RequestSitePlan,45.64%,"86,115"
DMT,ResidentialVillaMaintenancePermit,51.01%,"2,227"
DMT,RoadWorksApproval,59.72%,"1,008"
DMT,SesonalRanchAllotmentRequest,81.44%,"4,224"
DMT,SitePlan,48.49%,"2,611"
DMT,spatialDataGenerationRequest,55.63%,"11,552"
DMT,splitPlot,87.91%,"1,927"
DMT,SurveyOfBuildingBoundaries,71.50%,"5,150"
DMT,TammJourneyAdm,70.25%,"15,489,855"
DMT,TammJourneyDari,69.48%,"66,049"
DMT,TammJourneyDmat,94.63%,"513,813"
DMT,TammJourneyDpm,91.02%,"1,616,059"
DMT,TammJourneyMecs,87.83%,"539,727"
DMT,TammJourneyMeps,63.63%,"1,776,615"
DMT,TammJourneyTawtheeq,96.92%,"60,002"
DMT,TAMMOwnerProfile,92.68%,41
DMT,TAMMPropertyProfileService,95.35%,301
DMT,Tawtheeq,53.23%,"135,940"
DMT,TemporaryOutdoorSeatingPermitOrPavementWorks,55.99%,"1,102"
DMT,TemporaryRegistrationServicesWizard,92.31%,13
DMT,TemporaryTent,68.56%,"2,166"
DMT,tenancyContractTerminationForIndustrialPlotsAndRanches,45.49%,233
DMT,Tentsforevents,53.95%,506
DMT,TerminateTenancyContract,70.25%,"1,738"
DMT,TransferInterimToNewRegistrationForEngineer,18.75%,192
DMT,transferMortgage,75.34%,"1,330"
DMT,UnitEvaluationCertificate,56.93%,"8,757"
DMT,UnitOwnershipDeed,12.09%,"3,250"
DMT,UnitTransferFirstSell,43.33%,"1,387"
DMT,UnitVerificationCertificate,34.03%,"2,836"
DMT,UpdateEngineerRegistration,15.83%,"40,224"
DMT,UpdatePropertyInformation,63.87%,"8,013"
DMT,UpsApprovalForVillas,55.42%,"5,162"
DMT,userLoginprofiles,45.42%,"99,107"
DMT,userLoginprofilesD10,92.95%,"5,718"
DMT,userLoginprofilesD12,96.92%,780
DMT,userLoginprofilesD13,96.68%,"2,050"
DMT,userLoginprofilesD14,95.63%,"1,419"
DMT,userLoginprofilesD15,92.11%,"65,105"
DMT,userLoginprofilesD16,96.36%,"66,470"
DMT,userLoginprofilesD4,96.54%,"16,555"
DMT,userLoginprofilesD6,27.39%,"2,840"
DMT,userLoginprofilesDT,69.78%,"419,844"
DMT,userLoginprofilesV2,52.85%,"184,931"
DMT,userLoginprofilesV3,95.81%,"69,964"
DMT,UserLoginToken,77.75%,"5,322,919"
DMT,UserLoginTokenUpload,55.43%,"56,276"
DMT,ViolationPayment,54.86%,"20,691"
DMT,WeddingHallBooking,91.24%,"40,659"
DOE,TammJourneyDoe,91.15%,"8,065"
DOH,DOHTAMMLicensedServices,41.67%,24
DOH,IPCService,70.00%,"24,289"
DOH,MedicalInsurance,94.36%,"3,069,724"
DOH,TAMMAppointments,80.86%,768
DOH,TammJourneyDoh,66.69%,"2,802,611"
EAD,RecreationalFishingAnnualLicense,97.75%,"1,425"
EAD,RecreationalFishingLicense,96.01%,"18,380"
EAD,TammJourneyEad,98.22%,"2,020,000"
EMFA,SCMAFAddServiceRequestAttachment,2.32%,302
EMFA,SCMAFBeneficiariesInfo,92.04%,817
EMFA,SCMAFBenificiariesEligibilityCheckAPI,91.81%,"1,869"
EMFA,SCMAFCertificatesService,0.00%,193
EMFA,SCMAFCompanyInfo,0.00%,9
EMFA,SCMAFFileAssetsAPI,85.89%,319
EMFA,SCMAFFileAssetsOwnersAPI,82.70%,237
EMFA,SCMAFFileIndividualBeneficiaries,90.87%,230
EMFA,SCMAFFinancialCreateServiceRequest,0.00%,228
EMFA,SCMAFGetContractorInfo,0.00%,3
EMFA,SCMAFIBANValidationService,65.52%,29
EMFA,SCMAFIssuingCertificateService,2.83%,106
EMFA,SCMAFLegalRepresentationService,0.00%,2
EMFA,SCMAFListOfValuesService,100.00%,50
EMFA,SCMAFManagingDataRequests,0.00%,14
EMFA,SCMAFPersonalInformationService,93.60%,297
EMFA,SCMAFPubertyProofService,0.00%,16
EMFA,SCMAFRealEstateAndAssetManagment,0.00%,15
EMFA,TammJourneyScmaf,80.95%,168
FDF,FDFService,89.81%,"20,874"
FDF,TammJourneyFdf,95.78%,"172,194"
GovTalent,TammJourneyHra,75.56%,"3,656,504"
ITC,CustomerProfileService,22.67%,"28,617"
ITC,DOTPODDeterminationPermitDigitalDoc,38.26%,"10,450"
ITC,ITCTAMMCRMServices,18.15%,"38,085"
ITC,TammJourneyDot,94.75%,"15,404,568"
ITC,TammJourneyItc,72.31%,"23,976,221"
KFED,KhalifaFund,96.67%,"74,830"
KFED,KhalifaFundServices,97.00%,"1,014,590"
KFED,TammJourneyKfe,77.71%,"3,715"
NRC,NrcDigitalServices,93.68%,"24,896"
QCC,personAndProductCertificate,87.16%,148
QCC,QCCLimsService,79.39%,131
QCC,TammJourneyQcc,95.37%,"6,130"
SSA,TammJourneySsa,90.28%,"154,745"
Tadweer,TammJourneyCwm,90.99%,"91,310"
ZHIC,TammJourneyZHIC,93.81%,"18,658"
ZHO,KhidmatiService,98.05%,768
ZHO,TammJourneyZho,62.94%,"31,919"
ZHO,WjhtnaAppointmentBooking,97.66%,"3,375,886"
ZHO,ZHOPeopleOfDeterminationCard,2.10%,"11,863"
